google/gemini-3.1-pro-preview | input: 0.000002 | output: 0.000012
openai/gpt-5-image-mini | input: 0.0000025 | output: 0.000002
anthropic/claude-haiku-4.5 | input: 0.000001 | output: 0.000005
qwen/qwen3-vl-8b-thinking | input: 0.000000117 | output: 0.000001365
qwen/qwen3-vl-8b-instruct | input: 0.00000008 | output: 0.0000005
openai/gpt-5-image | input: 0.00001 | output: 0.00001
openai/o3-deep-research | input: 0.00001 | output: 0.00004
openai/o4-mini-deep-research | input: 0.000002 | output: 0.000008
nvidia/llama-3.3-nemotron-super-49b-v1.5 | input: 0.0000001 | output: 0.0000004
baidu/ernie-4.5-21b-a3b-thinking | input: 0.00000007 | output: 0.00000028
google/gemini-2.5-flash-image | input: 0.0000003 | output: 0.0000025
qwen/qwen3-vl-30b-a3b-thinking | input: 0 | output: 0
qwen/qwen3-vl-30b-a3b-instruct | input: 0.00000013 | output: 0.00000052
openai/gpt-5-pro | input: 0.000015 | output: 0.00012
z-ai/glm-4.6 | input: 0.00000035 | output: 0.00000171
z-ai/glm-4.6:exacto | input: 0.00000044 | output: 0.00000176
anthropic/claude-sonnet-4.5 | input: 0.000003 | output: 0.000015
deepseek/deepseek-v3.2-exp | input: 0.00000027 | output: 0.00000041
thedrummer/cydonia-24b-v4.1 | input: 0.0000003 | output: 0.0000005
relace/relace-apply-3 | input: 0.00000085 | output: 0.00000125
google/gemini-2.5-flash-lite-preview-09-2025 | input: 0.0000001 | output: 0.0000004
qwen/qwen3-vl-235b-a22b-thinking | input: 0 | output: 0
qwen/qwen3-vl-235b-a22b-instruct | input: 0.0000002 | output: 0.00000088
qwen/qwen3-max | input: 0.0000012 | output: 0.000006
qwen/qwen3-coder-plus | input: 0.000001 | output: 0.000005
openai/gpt-5-codex | input: 0.00000125 | output: 0.00001
deepseek/deepseek-v3.1-terminus:exacto | input: 0.00000021 | output: 0.00000079
deepseek/deepseek-v3.1-terminus | input: 0.00000021 | output: 0.00000079
x-ai/grok-4-fast | input: 0.0000002 | output: 0.0000005
alibaba/tongyi-deepresearch-30b-a3b | input: 0.00000009 | output: 0.00000045
qwen/qwen3-coder-flash | input: 0.0000003 | output: 0.0000015
opengvlab/internvl3-78b | input: 0.00000015 | output: 0.0000006
qwen/qwen3-next-80b-a3b-thinking | input: 0.00000015 | output: 0.0000012
qwen/qwen3-next-80b-a3b-instruct:free | input: 0 | output: 0
qwen/qwen3-next-80b-a3b-instruct | input: 0.00000009 | output: 0.0000011
meituan/longcat-flash-chat | input: 0.0000002 | output: 0.0000008
qwen/qwen-plus-2025-07-28 | input: 0.0000004 | output: 0.0000012
qwen/qwen-plus-2025-07-28:thinking | input: 0.0000004 | output: 0.0000012
nvidia/nemotron-nano-9b-v2:free | input: 0 | output: 0
nvidia/nemotron-nano-9b-v2 | input: 0.00000004 | output: 0.00000016
moonshotai/kimi-k2-0905 | input: 0.0000004 | output: 0.000002
moonshotai/kimi-k2-0905:exacto | input: 0.0000006 | output: 0.0000025
qwen/qwen3-30b-a3b-thinking-2507 | input: 0.000000051 | output: 0.00000034
x-ai/grok-code-fast-1 | input: 0.0000002 | output: 0.0000015
nousresearch/hermes-4-70b | input: 0.00000013 | output: 0.0000004
nousresearch/hermes-4-405b | input: 0.000001 | output: 0.000003
deepseek/deepseek-chat-v3.1 | input: 0.00000015 | output: 0.00000075
openai/gpt-4o-audio-preview | input: 0.0000025 | output: 0.00001
mistralai/mistral-medium-3.1 | input: 0.0000004 | output: 0.000002
baidu/ernie-4.5-21b-a3b | input: 0.00000007 | output: 0.00000028
baidu/ernie-4.5-vl-28b-a3b | input: 0.00000014 | output: 0.00000056
z-ai/glm-4.5v | input: 0.0000006 | output: 0.0000018
ai21/jamba-large-1.7 | input: 0.000002 | output: 0.000008
openai/gpt-5-chat | input: 0.00000125 | output: 0.00001
openai/gpt-5 | input: 0.00000125 | output: 0.00001
openai/gpt-5-mini | input: 0.00000025 | output: 0.000002
openai/gpt-5-nano | input: 0.00000005 | output: 0.0000004
openai/gpt-oss-120b:free | input: 0 | output: 0
openai/gpt-oss-120b | input: 0.000000039 | output: 0.00000019
openai/gpt-oss-120b:exacto | input: 0.000000039 | output: 0.00000019
openai/gpt-oss-20b:free | input: 0 | output: 0
openai/gpt-oss-20b | input: 0.00000003 | output: 0.00000014
anthropic/claude-opus-4.1 | input: 0.000015 | output: 0.000075
mistralai/codestral-2508 | input: 0.0000003 | output: 0.0000009
qwen/qwen3-coder-30b-a3b-instruct | input: 0.00000007 | output: 0.00000027
qwen/qwen3-30b-a3b-instruct-2507 | input: 0.00000009 | output: 0.0000003
z-ai/glm-4.5 | input: 0.00000055 | output: 0.000002
z-ai/glm-4.5-air:free | input: 0 | output: 0
z-ai/glm-4.5-air | input: 0.00000013 | output: 0.00000085
qwen/qwen3-235b-a22b-thinking-2507 | input: 0 | output: 0
z-ai/glm-4-32b | input: 0.0000001 | output: 0.0000001
qwen/qwen3-coder:free | input: 0 | output: 0
qwen/qwen3-coder | input: 0.00000022 | output: 0.000001
qwen/qwen3-coder:exacto | input: 0.00000022 | output: 0.0000018
bytedance/ui-tars-1.5-7b | input: 0.0000001 | output: 0.0000002
google/gemini-2.5-flash-lite | input: 0.0000001 | output: 0.0000004
qwen/qwen3-235b-a22b-2507 | input: 0.000000071 | output: 0.0000001
switchpoint/router | input: 0.00000085 | output: 0.0000034
moonshotai/kimi-k2 | input: 0.0000005 | output: 0.0000024
mistralai/devstral-medium | input: 0.0000004 | output: 0.000002
mistralai/devstral-small | input: 0.0000001 | output: 0.0000003
cognitivecomputations/dolphin-mistral-24b-venice-edition:free | input: 0 | output: 0
x-ai/grok-4 | input: 0.000003 | output: 0.000015
google/gemma-3n-e2b-it:free | input: 0 | output: 0
tencent/hunyuan-a13b-instruct | input: 0.00000014 | output: 0.00000057
tngtech/deepseek-r1t2-chimera | input: 0.00000025 | output: 0.00000085
morph/morph-v3-large | input: 0.0000009 | output: 0.0000019
morph/morph-v3-fast | input: 0.0000008 | output: 0.0000012
baidu/ernie-4.5-vl-424b-a47b | input: 0.00000042 | output: 0.00000125
baidu/ernie-4.5-300b-a47b | input: 0.00000028 | output: 0.0000011
inception/mercury | input: 0.00000025 | output: 0.000001
mistralai/mistral-small-3.2-24b-instruct | input: 0.00000006 | output: 0.00000018
minimax/minimax-m1 | input: 0.0000004 | output: 0.0000022
google/gemini-2.5-flash | input: 0.0000003 | output: 0.0000025
google/gemini-2.5-pro | input: 0.00000125 | output: 0.00001
openai/o3-pro | input: 0.00002 | output: 0.00008
x-ai/grok-3-mini | input: 0.0000003 | output: 0.0000005
x-ai/grok-3 | input: 0.000003 | output: 0.000015
google/gemini-2.5-pro-preview | input: 0.00000125 | output: 0.00001
deepseek/deepseek-r1-0528:free | input: 0 | output: 0
deepseek/deepseek-r1-0528 | input: 0.0000004 | output: 0.00000175
anthropic/claude-opus-4 | input: 0.000015 | output: 0.000075
anthropic/claude-sonnet-4 | input: 0.000003 | output: 0.000015
google/gemma-3n-e4b-it:free | input: 0 | output: 0
google/gemma-3n-e4b-it | input: 0.00000002 | output: 0.00000004
mistralai/mistral-medium-3 | input: 0.0000004 | output: 0.000002
google/gemini-2.5-pro-preview-05-06 | input: 0.00000125 | output: 0.00001
arcee-ai/spotlight | input: 0.00000018 | output: 0.00000018
arcee-ai/maestro-reasoning | input: 0.0000009 | output: 0.0000033
arcee-ai/virtuoso-large | input: 0.00000075 | output: 0.0000012
arcee-ai/coder-large | input: 0.0000005 | output: 0.0000008
inception/mercury-coder | input: 0.00000025 | output: 0.000001
qwen/qwen3-4b:free | input: 0 | output: 0
meta-llama/llama-guard-4-12b | input: 0.00000018 | output: 0.00000018
qwen/qwen3-30b-a3b | input: 0.00000008 | output: 0.00000028
qwen/qwen3-8b | input: 0.00000005 | output: 0.0000004
qwen/qwen3-14b | input: 0.00000006 | output: 0.00000024
qwen/qwen3-32b | input: 0.00000008 | output: 0.00000024
qwen/qwen3-235b-a22b | input: 0.000000455 | output: 0.00000182
openai/o4-mini-high | input: 0.0000011 | output: 0.0000044
openai/o3 | input: 0.000002 | output: 0.000008
openai/o4-mini | input: 0.0000011 | output: 0.0000044
qwen/qwen2.5-coder-7b-instruct | input: 0.00000003 | output: 0.00000009
openai/gpt-4.1 | input: 0.000002 | output: 0.000008
openai/gpt-4.1-mini | input: 0.0000004 | output: 0.0000016
openai/gpt-4.1-nano | input: 0.0000001 | output: 0.0000004
eleutherai/llemma_7b | input: 0.0000008 | output: 0.0000012
alfredpros/codellama-7b-instruct-solidity | input: 0.0000008 | output: 0.0000012
x-ai/grok-3-mini-beta | input: 0.0000003 | output: 0.0000005
x-ai/grok-3-beta | input: 0.000003 | output: 0.000015
nvidia/llama-3.1-nemotron-ultra-253b-v1 | input: 0.0000006 | output: 0.0000018
meta-llama/llama-4-maverick | input: 0.00000015 | output: 0.0000006
meta-llama/llama-4-scout | input: 0.00000008 | output: 0.0000003
qwen/qwen2.5-vl-32b-instruct | input: 0.0000002 | output: 0.0000006
deepseek/deepseek-chat-v3-0324 | input: 0.00000019 | output: 0.00000087
openai/o1-pro | input: 0.00015 | output: 0.0006
mistralai/mistral-small-3.1-24b-instruct:free | input: 0 | output: 0
mistralai/mistral-small-3.1-24b-instruct | input: 0.00000035 | output: 0.00000056
allenai/olmo-2-0325-32b-instruct | input: 0.00000005 | output: 0.0000002
google/gemma-3-4b-it:free | input: 0 | output: 0
google/gemma-3-4b-it | input: 0.00000004 | output: 0.00000008
google/gemma-3-12b-it:free | input: 0 | output: 0
google/gemma-3-12b-it | input: 0.00000004 | output: 0.00000013
cohere/command-a | input: 0.0000025 | output: 0.00001
openai/gpt-4o-mini-search-preview | input: 0.00000015 | output: 0.0000006
openai/gpt-4o-search-preview | input: 0.0000025 | output: 0.00001
google/gemma-3-27b-it:free | input: 0 | output: 0
google/gemma-3-27b-it | input: 0.00000004 | output: 0.00000015
thedrummer/skyfall-36b-v2 | input: 0.00000055 | output: 0.0000008
perplexity/sonar-reasoning-pro | input: 0.000002 | output: 0.000008
perplexity/sonar-pro | input: 0.000003 | output: 0.000015
perplexity/sonar-deep-research | input: 0.000002 | output: 0.000008
qwen/qwq-32b | input: 0.00000015 | output: 0.0000004
google/gemini-2.0-flash-lite-001 | input: 0.000000075 | output: 0.0000003
anthropic/claude-3.7-sonnet | input: 0.000003 | output: 0.000015
anthropic/claude-3.7-sonnet:thinking | input: 0.000003 | output: 0.000015
mistralai/mistral-saba | input: 0.0000002 | output: 0.0000006
meta-llama/llama-guard-3-8b | input: 0.00000002 | output: 0.00000006
openai/o3-mini-high | input: 0.0000011 | output: 0.0000044
google/gemini-2.0-flash-001 | input: 0.0000001 | output: 0.0000004
qwen/qwen-vl-plus | input: 0.00000021 | output: 0.00000063
aion-labs/aion-1.0 | input: 0.000004 | output: 0.000008
aion-labs/aion-1.0-mini | input: 0.0000007 | output: 0.0000014
aion-labs/aion-rp-llama-3.1-8b | input: 0.0000008 | output: 0.0000016
qwen/qwen-vl-max | input: 0.0000008 | output: 0.0000032
qwen/qwen-turbo | input: 0.00000005 | output: 0.0000002
qwen/qwen2.5-vl-72b-instruct | input: 0.00000025 | output: 0.00000075
qwen/qwen-plus | input: 0.0000004 | output: 0.0000012
qwen/qwen-max | input: 0.0000016 | output: 0.0000064
openai/o3-mini | input: 0.0000011 | output: 0.0000044
mistralai/mistral-small-24b-instruct-2501 | input: 0.00000005 | output: 0.00000008
deepseek/deepseek-r1-distill-qwen-32b | input: 0.00000029 | output: 0.00000029
perplexity/sonar | input: 0.000001 | output: 0.000001
deepseek/deepseek-r1-distill-llama-70b | input: 0.0000007 | output: 0.0000008
deepseek/deepseek-r1 | input: 0.0000007 | output: 0.0000025
minimax/minimax-01 | input: 0.0000002 | output: 0.0000011
microsoft/phi-4 | input: 0.00000006 | output: 0.00000014
sao10k/l3.1-70b-hanami-x1 | input: 0.000003 | output: 0.000003
deepseek/deepseek-chat | input: 0.00000032 | output: 0.00000089
sao10k/l3.3-euryale-70b | input: 0.00000065 | output: 0.00000075
openai/o1 | input: 0.000015 | output: 0.00006
cohere/command-r7b-12-2024 | input: 0.0000000375 | output: 0.00000015
meta-llama/llama-3.3-70b-instruct:free | input: 0 | output: 0
meta-llama/llama-3.3-70b-instruct | input: 0.0000001 | output: 0.00000032
amazon/nova-lite-v1 | input: 0.00000006 | output: 0.00000024
amazon/nova-micro-v1 | input: 0.000000035 | output: 0.00000014
amazon/nova-pro-v1 | input: 0.0000008 | output: 0.0000032
openai/gpt-4o-2024-11-20 | input: 0.0000025 | output: 0.00001
mistralai/mistral-large-2411 | input: 0.000002 | output: 0.000006
mistralai/mistral-large-2407 | input: 0.000002 | output: 0.000006
mistralai/pixtral-large-2411 | input: 0.000002 | output: 0.000006
qwen/qwen-2.5-coder-32b-instruct | input: 0.0000002 | output: 0.0000002
raifle/sorcererlm-8x22b | input: 0.0000045 | output: 0.0000045
thedrummer/unslopnemo-12b | input: 0.0000004 | output: 0.0000004
anthropic/claude-3.5-haiku | input: 0.0000008 | output: 0.000004
anthracite-org/magnum-v4-72b | input: 0.000003 | output: 0.000005
anthropic/claude-3.5-sonnet | input: 0.000006 | output: 0.00003
qwen/qwen-2.5-7b-instruct | input: 0.00000004 | output: 0.0000001
nvidia/llama-3.1-nemotron-70b-instruct | input: 0.0000012 | output: 0.0000012
inflection/inflection-3-pi | input: 0.0000025 | output: 0.00001
inflection/inflection-3-productivity | input: 0.0000025 | output: 0.00001
thedrummer/rocinante-12b | input: 0.00000017 | output: 0.00000043
meta-llama/llama-3.2-3b-instruct:free | input: 0 | output: 0
meta-llama/llama-3.2-3b-instruct | input: 0.00000002 | output: 0.00000002
meta-llama/llama-3.2-1b-instruct | input: 0.000000027 | output: 0.0000002
meta-llama/llama-3.2-11b-vision-instruct | input: 0.000000049 | output: 0.000000049
qwen/qwen-2.5-72b-instruct | input: 0.00000012 | output: 0.00000039
neversleep/llama-3.1-lumimaid-8b | input: 0.00000009 | output: 0.0000006
cohere/command-r-08-2024 | input: 0.00000015 | output: 0.0000006
cohere/command-r-plus-08-2024 | input: 0.0000025 | output: 0.00001
sao10k/l3.1-euryale-70b | input: 0.00000065 | output: 0.00000075
qwen/qwen-2.5-vl-7b-instruct | input: 0.0000002 | output: 0.0000002
nousresearch/hermes-3-llama-3.1-70b | input: 0.0000003 | output: 0.0000003
nousresearch/hermes-3-llama-3.1-405b:free | input: 0 | output: 0
nousresearch/hermes-3-llama-3.1-405b | input: 0.000001 | output: 0.000001
sao10k/l3-lunaris-8b | input: 0.00000004 | output: 0.00000005
openai/gpt-4o-2024-08-06 | input: 0.0000025 | output: 0.00001
meta-llama/llama-3.1-405b | input: 0.000004 | output: 0.000004
meta-llama/llama-3.1-8b-instruct | input: 0.00000002 | output: 0.00000005
meta-llama/llama-3.1-405b-instruct | input: 0.000004 | output: 0.000004
meta-llama/llama-3.1-70b-instruct | input: 0.0000004 | output: 0.0000004
mistralai/mistral-nemo | input: 0.00000002 | output: 0.00000004
openai/gpt-4o-mini-2024-07-18 | input: 0.00000015 | output: 0.0000006
openai/gpt-4o-mini | input: 0.00000015 | output: 0.0000006
google/gemma-2-27b-it | input: 0.00000065 | output: 0.00000065
google/gemma-2-9b-it | input: 0.00000003 | output: 0.00000009
sao10k/l3-euryale-70b | input: 0.00000148 | output: 0.00000148
nousresearch/hermes-2-pro-llama-3-8b | input: 0.00000014 | output: 0.00000014
mistralai/mistral-7b-instruct | input: 0.0000002 | output: 0.0000002
mistralai/mistral-7b-instruct-v0.3 | input: 0.0000002 | output: 0.0000002
meta-llama/llama-guard-2-8b | input: 0.0000002 | output: 0.0000002
openai/gpt-4o-2024-05-13 | input: 0.000005 | output: 0.000015
openai/gpt-4o | input: 0.0000025 | output: 0.00001
openai/gpt-4o:extended | input: 0.000006 | output: 0.000018
meta-llama/llama-3-70b-instruct | input: 0.00000051 | output: 0.00000074
meta-llama/llama-3-8b-instruct | input: 0.00000003 | output: 0.00000004
mistralai/mixtral-8x22b-instruct | input: 0.000002 | output: 0.000006
microsoft/wizardlm-2-8x22b | input: 0.00000062 | output: 0.00000062
openai/gpt-4-turbo | input: 0.00001 | output: 0.00003
anthropic/claude-3-haiku | input: 0.00000025 | output: 0.00000125
mistralai/mistral-large | input: 0.000002 | output: 0.000006
openai/gpt-3.5-turbo-0613 | input: 0.000001 | output: 0.000002
openai/gpt-4-turbo-preview | input: 0.00001 | output: 0.00003
mistralai/mistral-7b-instruct-v0.2 | input: 0.0000002 | output: 0.0000002
mistralai/mixtral-8x7b-instruct | input: 0.00000054 | output: 0.00000054
neversleep/noromaid-20b | input: 0.000001 | output: 0.00000175
alpindale/goliath-120b | input: 0.00000375 | output: 0.0000075
openrouter/auto | input: -1 | output: -1
openai/gpt-4-1106-preview | input: 0.00001 | output: 0.00003
openai/gpt-3.5-turbo-instruct | input: 0.0000015 | output: 0.000002
mistralai/mistral-7b-instruct-v0.1 | input: 0.00000011 | output: 0.00000019
openai/gpt-3.5-turbo-16k | input: 0.000003 | output: 0.000004
mancer/weaver | input: 0.00000075 | output: 0.000001
undi95/remm-slerp-l2-13b | input: 0.00000045 | output: 0.00000065
gryphe/mythomax-l2-13b | input: 0.00000006 | output: 0.00000006
openai/gpt-4-0314 | input: 0.00003 | output: 0.00006
openai/gpt-4 | input: 0.00003 | output: 0.00006
openai/gpt-3.5-turbo | input: 0.0000005 | output: 0.0000015
